"","x"
"2145",0
"2146",0
"2147",0
"2148",0
"2149",-0.005
"2150",-0.005
"2151",0
"2152",0
"2153",0.005
"2154",0.005
"2155",-0.005
"2156",-0.005
"2157",0.005
"2158",0
"2159",0
"2160",0
"2161",0
"2162",0
"2163",0
"2164",0.005
"2165",0
"2166",-0.005
"2167",0
"2168",0
"2169",0
"2170",0
"2171",0
"2172",0
"2173",0
"2174",0.005
"2175",0.005
"2176",0
"2177",-0.005
"2178",0
"2179",0
"2180",0.005
"2181",0.00499999999999989
"2182",0
"2183",0
"2184",-0.005
"2185",-0.005
"2186",0
"2187",0
"2188",-0.005
"2189",0
"2190",-0.005
"2191",0
"2192",-0.005
"2193",0
"2194",0
"2195",0
"2196",0
"2197",0
"2198",0
"2199",0.005
"2200",0
"2201",-0.005
"2202",0.005
"2203",0
"2204",0.00499999999999995
"2205",0
"2206",0
"2207",0.005
"2208",0
"2209",0
"2210",-0.005
"2211",0
"2212",-0.005
"2213",0
"2214",0
"2215",0
"2216",0
"2217",0
"2218",0
"2219",0
"2220",0.005
"2221",0
"2222",0
"2223",-0.005
"2224",-0.005
"2225",0.005
"2226",-0.005
"2227",0
"2228",0
"2229",0
"2230",0
"2231",-0.005
"2232",0
"2233",0
"2234",-0.005
"2235",-0.005
"2236",0
"2237",0.005
"2238",0
"2239",0
"2240",0.005
"2241",-0.005
"2242",0
"2243",0
"2244",-0.005
"2245",0
"2246",-0.005
"2247",0
"2248",0
"2249",0
"2250",-0.005
"2251",0.005
"2252",0
"2253",-0.005
"2254",-0.005
"2255",0
"2256",0.005
"2257",-0.005
"2258",-0.005
"2259",0
"2260",0
"2261",0
"2262",0.005
"2263",0
"2264",0
"2265",-0.005
"2266",0.005
"2267",0
"2268",0.005
"2269",0
"2270",0
"2271",0
"2272",0
"2273",0
"2274",0
"2275",0.005
"2276",-0.005
"2277",0
"2278",-0.005
"2279",-0.005
"2280",0.005
"2281",-0.005
"2282",0
"2283",-0.005
"2284",-0.005
"2285",-0.005
"2286",0
"2287",-0.00499999999999989
"2288",0
"2289",0.005
"2290",-0.005
"2291",-0.00499999999999995
"2292",0
"2293",-0.005
"2294",0
"2295",-0.005
"2296",0.005
"2297",0
"2298",0
"2299",0
"2300",0.005
"2301",0
"2302",0
"2303",0
"2304",0
"2305",-0.005
"2306",0
"2307",0
"2308",-0.005
"2309",0
"2310",0
"2311",0
"2312",0.005
"2313",0
"2314",0
"2315",0
"2316",0
"2317",0
"2318",0
"2319",0
"2320",0
"2321",0
"2322",0
"2323",-0.005
"2324",0
"2325",0
"2326",0.00499999999999995
"2327",0.005
"2328",-0.005
"2329",0
"2330",-0.005
"2331",0.005
"2332",0
"2333",0
"2334",-0.005
"2335",0
"2336",0
"2337",-0.005
"2338",0
"2339",0
"2340",0.005
"2341",0
"2342",0
"2343",-0.005
"2344",0
"2345",0.005
"2346",-0.005
"2347",0
"2348",0
"2349",0
"2350",0.005
"2351",0
"2352",0
"2353",0
"2354",0
"2355",0
"2356",0.01
"2357",0
"2358",-0.005
"2359",-0.005
"2360",0
"2361",0
"2362",0
"2363",0
"2364",0
"2365",0
"2366",0
"2367",0
"2368",0
"2369",0
"2370",-0.005
"2371",0.005
"2372",0
"2373",0.005
"2374",0
"2375",0
"2376",0
"2377",0
"2378",0
"2379",0
"2380",0
"2381",0
"2382",0.005
"2383",-0.01
"2384",-0.005
"2385",0.00499999999999989
"2386",0
"2387",0
"2388",0.005
"2389",0
"2390",0
"2391",0
"2392",0.005
"2393",0
"2394",0
"2395",0
"2396",0
"2397",0.005
"2398",0
"2399",0
"2400",0
"2401",0
"2402",-0.005
"2403",0
"2404",0.005
"2405",0.005
"2406",0
"2407",-0.005
"2408",0
"2409",-0.005
"2410",0
"2411",0
"2412",0
"2413",0.00499999999999995
"2414",0
"2415",0
"2416",0
"2417",0
"2418",0
"2419",0.005
"2420",0
"2421",0
"2422",0
"2423",0
"2424",0
"2425",-0.01
"2426",0
"2427",0.005
"2428",0.005
"2429",0
"2430",0
"2431",0
"2432",0
"2433",0.005
"2434",0
"2435",0
"2436",0
"2437",0
"2438",0
"2439",0
"2440",0
"2441",0
"2442",0
"2443",0
"2444",0
"2445",0
"2446",-0.01
"2447",0
"2448",0
"2449",0
"2450",0.005
"2451",0
"2452",0
"2453",0.005
"2454",0
"2455",0
"2456",0.00499999999999995
"2457",0.005
"2458",0
"2459",0
"2460",0
"2461",0
"2462",0
"2463",0
"2464",-0.005
"2465",-0.005
"2466",0
"2467",-0.005
"2468",0
"2469",-0.01
"2470",0
"2471",0
"2472",0.005
"2473",0
"2474",0
"2475",-0.005
"2476",0
"2477",0
"2478",0
"2479",0
"2480",0
"2481",0
"2482",0
"2483",0
"2484",0
"2485",-0.005
"2486",-0.005
"2487",0.005
"2488",0
"2489",0.005
"2490",0
"2491",-0.005
"2492",0.005
"2493",0
"2494",-0.005
"2495",0
"2496",0.005
"2497",0
"2498",0
"2499",0.01
"2500",0
"2501",0
"2502",0.005
"2503",0
"2504",0
"2505",0
"2506",0
"2507",0.005
"2508",0
"2509",0
"2510",0
"2511",0
"2512",0
"2513",-0.005
"2514",0
"2515",0
"2516",0
"2517",0.005
"2518",0
"2519",-0.005
"2520",0.005
"2521",0
"2522",0.005
"2523",0
"2524",0
"2525",-0.005
"2526",0
"2527",0
"2528",-0.005
"2529",-0.005
"2530",0
"2531",0
"2532",0
"2533",0
"2534",0
"2535",0
"2536",0
"2537",0
"2538",0
"2539",0
"2540",-0.005
"2541",0
"2542",0
"2543",-0.005
"2544",0
"2545",0
"2546",-0.01
"2547",0
"2548",0
"2549",0.005
"2550",0.005
"2551",0
"2552",0
"2553",0
"2554",0
"2555",0
"2556",0
"2557",0.005
"2558",0
"2559",-0.005
"2560",-0.005
"2561",-0.005
"2562",-0.005
"2563",-0.005
"2564",0
"2565",0.005
"2566",0
"2567",0
"2568",0
"2569",0
"2570",0
"2571",-0.005
"2572",-0.005
"2573",0
"2574",0.005
"2575",0
"2576",0
"2577",0.00499999999999989
"2578",-0.00499999999999995
"2579",0
"2580",0
"2581",0
"2582",0
"2583",0
"2584",0
"2585",-0.005
"2586",-0.005
"2587",0
"2588",0
"2589",0
"2590",0
"2591",0
"2592",0
"2593",0
"2594",0
"2595",-0.005
"2596",0
"2597",0
"2598",0
"2599",0
"2600",-0.005
"2601",0
"2602",-0.005
"2603",-0.015
"2604",0
"2605",0
"2606",0.005
"2607",0
"2608",0
"2609",0
"2610",0
"2611",0.005
"2612",0
"2613",0
"2614",0
"2615",-0.005
"2616",-0.005
"2617",0
"2618",0.005
"2619",0
"2620",0
"2621",0
"2622",0
"2623",-0.005
"2624",-0.01
"2625",0
"2626",-0.005
"2627",-0.005
"2628",0
"2629",-0.005
"2630",-0.005
"2631",0
"2632",0
"2633",0.005
"2634",0
"2635",0
"2636",0.005
"2637",0.005
"2638",0.005
"2639",0
"2640",0.005
"2641",0
"2642",0
"2643",0
"2644",0
"2645",0.005
"2646",0
"2647",-0.005
"2648",0.005
"2649",-0.01
"2650",0
"2651",0
"2652",0
"2653",-0.005
"2654",0
"2655",0
"2656",0
"2657",0.00499999999999989
"2658",0
"2659",0
"2660",0
"2661",0
"2662",0
"2663",0
"2664",0
"2665",-0.005
"2666",0
"2667",0
"2668",0
"2669",0.005
"2670",0.005
"2671",0
"2672",0
"2673",0
"2674",0.00499999999999989
"2675",-0.005
"2676",0
"2677",0
"2678",0
"2679",0.005
"2680",0
"2681",0.005
"2682",0
"2683",-0.005
"2684",0.005
"2685",0
"2686",0
"2687",0.00499999999999989
"2688",0
"2689",0
"2690",0.005
"2691",0.005
"2692",-0.005
"2693",0
"2694",0
"2695",0
"2696",-0.005
"2697",0.005
"2698",0
"2699",0.005
"2700",-0.00499999999999995
"2701",0.005
"2702",0.005
"2703",0
"2704",0.005
"2705",0
"2706",0
"2707",0
"2708",0
"2709",0
"2710",0
"2711",0
"2712",-0.005
"2713",-0.005
"2714",-0.005
"2715",0
"2716",-0.005
"2717",0
"2718",0.005
"2719",0
"2720",0.005
"2721",0
"2722",0
"2723",0
"2724",-0.005
"2725",0
"2726",-0.005
"2727",0.005
"2728",0
"2729",0.005
"2730",0
"2731",0
"2732",0
"2733",0
"2734",0
"2735",-0.005
"2736",0
"2737",0
"2738",0.005
"2739",0
"2740",0
"2741",-0.005
"2742",0
"2743",0
"2744",0
"2745",0
"2746",0.005
"2747",-0.005
"2748",0
"2749",-0.005
"2750",0
"2751",0
"2752",0
"2753",0.005
"2754",0
"2755",-0.005
"2756",0
"2757",0
"2758",0
"2759",0
"2760",0
"2761",0
"2762",-0.00999999999999995
"2763",0
"2764",-0.005
"2765",0
"2766",-0.015
"2767",0
"2768",-0.005
"2769",-0.005
"2770",0
"2771",0
"2772",0
"2773",0
"2774",0
"2775",0
"2776",0
"2777",0
"2778",0
"2779",0
"2780",0
"2781",0
"2782",-0.005
"2783",0
"2784",-0.005
"2785",0
"2786",0
"2787",-0.005
"2788",0.005
"2789",0
"2790",0
"2791",0
"2792",0.00499999999999995
"2793",0
"2794",0
"2795",0
"2796",0
"2797",0
"2798",0
"2799",0
"2800",0
"2801",-0.005
"2802",0
"2803",0
"2804",0
"2805",0.005
"2806",-0.005
"2807",-0.005
"2808",0
"2809",0
"2810",-0.005
"2811",-0.005
"2812",0
"2813",0
"2814",0
"2815",0
"2816",0.005
"2817",0
"2818",0
"2819",0.005
"2820",0
"2821",0
"2822",0.005
"2823",0
"2824",0
"2825",0
"2826",0.01
"2827",0
"2828",0
"2829",0.005
"2830",0
"2831",0
"2832",0
"2833",0
"2834",0
"2835",0
"2836",-0.005
"2837",0
"2838",0
"2839",0
"2840",0
"2841",0
"2842",0
"2843",-0.005
"2844",0.005
"2845",0
"2846",0
"2847",-0.005
"2848",0
"2849",0
"2850",-0.005
"2851",0
"2852",0
"2853",0
"2854",0
"2855",-0.005
"2856",-0.005
"2857",0
"2858",0
"2859",0
"2860",0
"2861",0
"2862",0.00499999999999995
"2863",0.00499999999999995
"2864",0.005
"2865",-0.005
"2866",0
"2867",0
"2868",0
"2869",0
"2870",0
"2871",0
"2872",0.005
"2873",-0.005
"2874",-0.005
"2875",-0.005
"2876",-0.005
"2877",0.005
"2878",-0.005
"2879",-0.005
"2880",0
"2881",-0.005
"2882",0
"2883",0
"2884",-0.005
"2885",0
"2886",0
"2887",0
"2888",0
"2889",0
"2890",0.005
"2891",-0.00499999999999995
"2892",-0.005
"2893",0.00499999999999995
"2894",-0.01
"2895",-0.005
"2896",-0.005
"2897",0
"2898",0.005
"2899",0
"2900",0
"2901",0
"2902",0
"2903",0.005
"2904",-0.005
"2905",0
"2906",0
"2907",0
"2908",0
"2909",0
"2910",0
"2911",0
"2912",0
"2913",0.005
"2914",0
"2915",0
"2916",0.005
"2917",-0.005
"2918",0
"2919",0
"2920",0
"2921",0
"2922",0
"2923",0
"2924",0
"2925",-0.005
"2926",0
"2927",0
"2928",0
"2929",0.00499999999999995
"2930",0
"2931",0
"2932",-0.005
"2933",0
"2934",0.005
"2935",0
"2936",0
"2937",0
"2938",0
"2939",0
"2940",0
"2941",0
"2942",-0.005
"2943",0
"2944",0
"2945",0
"2946",0.005
"2947",0
"2948",-0.005
"2949",0.005
"2950",0
"2951",0
"2952",0.005
"2953",-0.005
"2954",0
"2955",-0.005
"2956",0.005
"2957",0
"2958",0
"2959",0
"2960",0
"2961",0
"2962",0
"2963",0
"2964",0.005
"2965",0.005
"2966",0
"2967",0
"2968",-0.005
"2969",0.005
"2970",0
"2971",0
"2972",0
"2973",0
"2974",0
"2975",0
"2976",0
"2977",0.015
"2978",0.005
"2979",0
"2980",0
"2981",0
"2982",0.005
"2983",0
"2984",0
"2985",-0.005
"2986",-0.005
"2987",0
"2988",0.005
"2989",0
"2990",0
"2991",-0.005
"2992",0
"2993",-0.005
"2994",0
"2995",0.005
"2996",0
"2997",0
"2998",-0.005
"2999",0.005
"3000",0
